Timestamp,Safety FirstLevel,Check your branchesLevel,Check your classesLevel,Line-by-lineLevel,Check your methodsLevel,Bug FinderLevel,Class Reviewer - BranchesLevel,Class Reviewer - LinesLevel,Class Reviewer - MethodsLevel,Double checkLevel,Shine in new splendourLevel,The Method ExtractorLevel,The Method InlinerLevel,The EponymLevel,Test FixerLevel,Gotta Catch ’Em AllLevel,The TesterLevel,The Tester - AdvancedLevel,Assert and TestedLevel,Safety FirstProgress,Check your branchesProgress,Check your classesProgress,Line-by-lineProgress,Check your methodsProgress,Bug FinderProgress,Class Reviewer - BranchesProgress,Class Reviewer - LinesProgress,Class Reviewer - MethodsProgress,Double checkProgress,Shine in new splendourProgress,The Method ExtractorProgress,The Method InlinerProgress,The EponymProgress,Test FixerProgress,Gotta Catch ’Em AllProgress,The TesterProgress,The Tester - AdvancedProgress,Assert and TestedProgress
2025-11-18 10:21:50.596,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,6,0,0,0,0,0,0,0,0,21,3,0,0,1,0,0,3,0,39
2025-11-18 10:21:50.601,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,7,0,0,0,0,0,0,0,0,21,3,0,0,1,0,0,3,0,39
2025-11-18 10:21:53.636,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,7,0,0,0,0,0,0,0,0,21,3,0,0,1,0,0,3,0,43
2025-11-18 10:21:54.012,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,7,0,0,0,0,0,0,0,0,21,3,0,0,1,0,0,4,0,43
2025-11-18 10:23:29.67,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,7,0,0,0,0,0,0,0,0,29,3,0,0,1,0,0,4,0,43
2025-11-18 10:23:29.694,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,9,0,0,0,0,0,0,0,0,29,3,0,0,1,0,0,4,0,43
2025-11-18 10:23:32.298,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,9,0,0,0,0,0,0,0,0,29,3,0,0,1,0,0,5,0,43
2025-11-18 10:24:00.342,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,9,0,0,0,0,0,0,0,0,29,3,0,0,1,0,0,5,0,47
2025-11-18 10:24:00.686,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,9,0,0,0,0,0,0,0,0,29,3,0,0,1,0,0,6,0,47
2025-11-18 10:24:09.635,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,9,0,0,0,0,0,0,0,0,29,3,0,0,1,0,0,6,0,51
2025-11-18 10:24:09.967,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,9,0,0,0,0,0,0,0,0,29,3,0,0,1,0,0,7,0,51
2025-11-18 10:24:14.912,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,9,0,0,0,0,0,0,0,0,29,3,0,0,1,0,0,7,0,55
